,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,
1,"ZL, Zhōngshī 127. B",祴,kə̂,kə,,,陔,kə̂,kə,,,
2,"ZL, Minli 202. C",子,tsəʔ,tsiəᴮ,,,祀,s-lǝʔ,ziəᴮ,,,
3,"ZL, Xiaozhu 137. A",禩 ,s-lǝʔ,ziəᴮ,,,祀,s-lǝʔ,ziəᴮ,,,
4,"ZL, Dazhu 134. B",竈,tsûkh,tsouꟲ,,,造,tshûh,tsʰouꟲ,,,
5,"ZL, Jinche 145. B*",𨎮,tsâuʔ,tsɑuᴮ,,,藻,tsâuʔ,tsɑuᴮ,,,
6,"ZL, Huzhuoshi 207. B",炮,brû,bɔu,,,苞,prû,pɔu,,,
7,"ZL, Hairen 36. C",茆,mrûʔ,mɔuᴮ,,,卯,mrûʔ,mɔuᴮ,,,
8,"ZL, Shuishi 132. E",燋,tsau,tsiɑu,,,樵,dzau,dziɑu,,,
9,"ZL, Huzhuoshi 207. A",橭,khâ,kʰɑ,,,枯,khâ,kʰɑ,,,
10,"ZL, Kaogongji, Zhouren 228. B",弧,ɡwâ,ɣuɑ,,,汙,ʔwâ,ʔuɑ,,,
11,"ZL, Zhangshe 38. A",枑,ɡâh,ɡɑꟲ,,,柜,kwaʔ,kyɑᴮ,,,
12,"ZL, Xiangdaifu 65. A",無,maʔ,muɑᴮ,ma,muɑ,舞,maʔ,muɑᴮ,,,
13,"ZL, Xiangshi 63. C",蒩,tsâ,tsɑ,,,菹,tsra,tṣɑ,,,
14,"ZL, Jinche 144. A",揟,??? ,??? ,,,沙,srâi,ṣai,,,
15,"ZL, Xiaozai 22. A",傅辨,pah- brenʔ,puɑꟲ- bɨanᴮ,,,傅別,pah- bret,puɑꟲ- bɨat,,,
16,"ZL, Suiren 83. B",耡,dzrah,dẓɑꟲ,,,助,dzrah,dzaꟲ,,,
17,"ZL, Jinche 144.A",拘,kô,ko,,,鉤,kô,ko,,,
18,"ZL, Zhanmeng 133. B",儺,nâi,nɑi,,,難,nâns,nɑnꟲ,,,
19,"ZL, Kaogongji 221. A",笴,kâiʔ,kɑiᴮ,,,稾,??? ,??? ,,,
20,"ZL, Guiren 131. A",果,kôiʔ or kwâiʔ,kuɑiᴮ,,,𣜄,??? ,??? ,,,
21,"ZL, Dabu 130. B",觭,khai,kʰɨai,,,奇,kai,kɨai,,,
22,"ZL, Xiaozai 22. A",㢮,lhaiʔ,śaiᴮ,,,施,lhai,śai,lhaih,śaiꟲ,
23,"ZL, Xiaozongbo 104. A",渳,meʔ,mieᴮ,,,泯,minʔ,minᴮ,,,
24,"ZL, Nanwu 139. B",弭,meʔ,mieᴮ,,,彌,meʔ,mieᴮ,,,
25,"ZL, Zhifangshi 181. A",貕,ɡə̂,ɡə,,,奚,ɡə̂,ɡə,,,
26,"ZL, Gumeng 126. A",帝,têh,teꟲ,,,定,dêŋh,deŋꟲ,,,
27,"ZL, Xiaosikou 190. A",麗,rêh,leꟲ,,,羅,râi,lɑi,,,
28,"ZL, Mèishī 95. B*",𩎟,mrə̂s,mɛs,,,菋,??? ,??? ,,,
29,"ZL, Jiuzheng 33. A",⿱,??? ,??? ,,,資,tsi,tsi,,,
30,"ZL, Dianfugong 48. A",齎,tsi,tsi,,,齊,tsi,tsi,,,
31,"ZL,Sizunyi l09. B",齍,tsi,tsi,,,齊,tsi,tsi,,,
32,"ZL, Sìshī 105. C",祈,ɡəi,ɡɨi,,,幾,ɡəi,ɡɨi,,,
33,"ZL, Jinche 145. A*",𨋰,??? ,??? ,,,桼,tshit,tsʰit,,,
34,"ZL, Xiaozongbo 105. C*",肆,slis,sis,,,肄,lis,jis,,,
35,"ZL, Lüxu 67. A*",暨,ɡrəts,ɡɨs,,,既,kəs,kɨəs,,,
36,"ZL, Xiaozongbo 104. A",竁,tshots,tsʰyas,,,毳,tshots,tsʰyas,,,
37,"ZL, Dazhu 135. B",動,dôŋʔ,doŋᴮ,,,慟,dôŋh,doŋꟲ,,,
38,"ZL, Jinche 145. A",龍,mrôŋ,mɔŋ,,,駹,mrôŋ,mɔŋ,,,
38a,"ZL, Niizhu 48. A",梗,krâŋʔ ,kaŋᴮ,,,更,krâŋ,kaŋ,krâŋh,kaŋꟲ,
39,"ZL, Lingren 35. A",掌,taŋʔ ,tśɑŋᴮ,,,主,toʔ ,tśoᴮ,,,
40,"ZL, Dasitu 57.A",生,sreŋ,ṣeŋ,,,性,seŋh,sieŋꟲ,,,
41,Deleted,,,,,,,,,,,
42,"ZL, Lüxu 67. A",政,teŋh,tśeŋꟲ,,,征,teŋ,tśeŋ,,,
43,"ZL, Xiaoshi 141. A",奠,dêŋh,deŋꟲ,,,定,dêŋh,deŋꟲ,,,
44,"ZL, Xiangshi 64. B",屯,dûn,duən,,,殿,təns,tenꟲ,,,
45,"ZL, Neizai 45. A",敦,tûn,tuən,,,純,"dûn, dûnʔ",duənᴮ,,,
46,"ZL, Diantong 126. B",䃂,kûnʔ,kuənᴮ,,,鏗,khrêŋ,kʰɛŋ,,,
