,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,,,
1,"ZL, Dazhu 135. A",襃,pûh,pouꟲ,,,報,pûh,pouꟲ,,,,,
2,"ZL, Hairen 36. A",茆,mrûʔ,mɔuᴮ,,,茅,mrû R !,mɔu,,,,,
3,"ZL, Xiangshi 63. A",蒩,"tsa, tsha",tsʰiɑ,,,藉,dzakh,dziaꟲ,,,,,
4,"ZL, Suiren 83. A",耡,dzrah,dẓɑꟲ,,,藉,dzak,dziak,,,,,
5,"ZL, Xiaozai 22. A ",傅辨,pah-brenʔ,puɑꟲ-bɨanᴮ,,,符別,bo-bret,buo-bɨat,,,,,
6,"ZL, Diantong 126. B ",陂,pai,pɨai,,,罷,brâʔ or brê,baiᴮ or bɛiᴮ,,,,,
7,"ZL, Niizhu 48. A",梗,krâŋʔ ,kaŋᴮ,,,亢,klaŋ,kɑŋ,,,,,
8,"ZL, Xiangshi 64. A",屯,dûn,duən,,,殿,təns,tenꟲ,,,,,
9,"ZL, Diantong 126. B",䃂,kûnʔ,kuənᴮ,,,衮,kûnʔ,kuənᴮ,,,,,
10,"ZL, Xiren 30. A",胖,phâns,pʰɑnꟲ,,,判,phâns,pʰɑnꟲ,,,,,
11,"ZL, Xiaozongbo 104. C",竁,thons,tśʰuanꟲ,,,穿,thon,tśʰuan,,,,,
12,"ZL, Diantong 126. B",韽,ʔə̂m,ʔəm,,,䳺,ʔə̂m,ʔəm,,,,,
13,"ZL, Dianshi 29. A",莤,sruk,ṣuk,,,縮,sruk,ṣuk,,,,,
