,,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,,,,OCM,LHan
1,"ZL, Sijiyan 110. A",乃,nə̂ʔ,nəᴮ,,,,,仍,nəŋ,ńɨŋ,,,,,,,
2,"ZL, Kaogongji, Lunren 223. D",菑,tsrə,tṣiə,tsrəh,tṣiəꟲ,,,廁,tshrəkh,tṣʰiəꟲ,,,,,,,
3,"ZL, Bianshi 172. D",璂,ɡə,ɡɨə,,,,,綦,ɡə,ɡɨə,,,,,,,
4,"ZL,Xiaozhu 137.A",禩,s-lǝʔ,ziəᴮ,,,,,祀,s-lǝʔ,ziəᴮ,,,,,,,
5,"ZL,Jiuzheng 33. 糟音聲與𣺋相似。",糟,tsû,tsou,,,,,𣺋,tsû,tsou,,,,,,,
5a,"ZL, Yueshi 122. D",臯,kû,kou,,,,,吿,kûk,kouk,kûkh,kouꟲ,,,,,
6,"ZL, Kaogongji, Zhouren 228. A*",䱸,???,???,,,,,緧,tshiu,tsʰiu,,,,,,,
7,"ZL, Xiangshi 64. B",賙,tiu,tśu,,,,,周,tiu,tśu,,,,,,,
8,"ZL, Muren 70. A",黝,ʔiuʔ,ʔiuᴮ,,,,,幽,ʔiu,ʔiu,,,,,,,
9,"ZL, Sijiyan 110. B",繅,sâu,sɑu,,,,,藻,tsâuʔ,tsɑuᴮ,,,,,,,
10,"ZL, Gaoren 56. B",稾,kâuh,kɑuꟲ,,,,,犒,khâuh,kʰɑuꟲ,,,,,,,
11,"ZL, Kaogongji, Lunren 223. E",藃,hâukh,hɑuꟲ,,,,,耗,hmâuh,hɑuꟲ,,,,,,,
12,"ZL, Dasima 154. D",鐃,nrâu or nriâu,ṇau,,,,,嘵,hiâu,heu,,,,,,,
13,"ZL, Kaogongji, Gongren 251. B",茭,krâu,kau,,,,,激,???,???,,,,,,,
14,"ZL, Kaogongji, Luren 243. D",校,krâuʔ,kauᴮ,,,,,絞,krâuʔ,kauᴮ,,,,,,,
15,"ZL, Shoutiao 115. A",濯,driauk,ḍɔk,driaukh,ḍauꟲ,,,祧,lhiâu,tʰeu,,,,,,,
16,"ZL, Changren l07. A",剽,phiauh,pʰiauꟲ,phiau,pʰiau,piauʔ,piauᴮ,瓢,biau,biau,,,,,,,
17,"ZL, Kaogongji, Lunren 223. B",捎,siâu,seu,,,,,蛸,sriâu,ṣau,,,,,,,
18,"ZL, Kaogongji, Lunren 222. D",牙,ŋrâ,ŋa,,,,,訝,ŋrâh,ŋaꟲ,,,,,,,
19,"ZL, Sizunyi 109. A",斝,krâʔ,kaᴮ,,,,,稼,krâh,kaꟲ,,,,,,,
20,"ZL, Liangren 160. D",斝,krâʔ,kaᴮ,,,,,嫁,krâh,kaꟲ,,,,,,,
21,"ZL, Kaogongji 220. A",廬,ra,liɑ,,,,,纑,râ,lɑ,,,,,,,
22,"ZL, Kaogongji, Gongren 251. B",帤,nra,ṇiɑ,,,,,絮,snah,siɑꟲ,,,,,,,
23,"ZL, Dianrui 112. A",疏,sra,ṣɑ,,,,,沙,srâi,ṣai,,,,,,,
24,"ZL, Lizai 85. A",耡,dzrah,dẓɑꟲ,,,,,藉,dzak,dziak,,,,,,,
25,"ZL, Kaogongji 224. A",禹,waʔ,wɑᴮ,,,,,萭,kwaʔ,kyɑᴮ,,,,,,,
26,"ZL, Kaogongji, Baoren 234. B*",𠟺,???,???,,,,,需,sno,"sio, tsʰio",,,,,,,
27,"ZL, Yangren 160. A",眦,???,???,,,,,漬,dzekh,dzieꟲ,,,,,,,
28,"ZL, Kaogongji 22l. B",迆,lai,jai,,,,,移,lai,jai,,,,,,,
29,"ZL, Sigongshi 173. B",庳,beʔ,bieᴮ,,,,,罷,bai,bɨɑi,,,,,,,
30,"ZL, Kaogongji, Cheren 247. B",庛,tsheh,tsʰieꟲ,,,,,疵,dzeh,dzieꟲ,,,,,,,
31,"ZL, Shìshì 186. B",翨,lhekh,śeꟲ,,,,,翅,lhekh,śeꟲ,,,,,,,
32,"ZL, Kaogongji, Luren 242. B",椑,bê,be,,,,,鼙,bê,be,,,,,,,
33,"ZL, Mèishī 95.D",韎,mə̂s,məs,,,,,味,məs,mus,,,,,,,
34,"ZL, Kaogongji, Ziren 241. A",飛,pəi,pui,,,,,匪,pəiʔ,puiᴮ,,,,,,,
35,"ZL, Suishi 84. A",比,piʔ,piᴮ,,,,,庀,phiʔ,pʰiᴮ,,,,,,,
