,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,,OCM,LHan,Notes
1,2A.4a. B*,亥,ɡə̂ʔ,ɡəᴮ,,,（侅=）核,ɡrə̂k,ɡɛk,,,,,,
2,4A.4b. D,載,tsə̂ʔ/h,tsəᴮ/ꟲ,,,成,deŋ,dźeŋ,,,,,,year
3,3A.7a. E,岱,lə̂kh,dəꟲ,,,代,lə̂kh,dəꟲ,,,,,,
3a,4A.4a. B*,時,də,dźə,dəʔ(tone!),dźə,期,kə,kɨə,ɡə,ɡɨə,,,,
4,1A.3b. B,士,s-rǝʔ,ẓǝ,,,事,s-rǝʔ R!,dẓiǝꟲ,,,,,,
5,2A.4b. E,己,kəʔ,kɨəᴮ,,,起,khəʔ,kʰɨəᴮ,,,,,,
6,3B.6a. B,紀,kəʔ,kɨəᴮ,,,理,rəʔ,liəᴮ,,,,,,
7,2A.15b. B,弒,lhəkh,śəꟲ,,,試,lhəkh,śəꟲ,,,,,,
8,2B.7b. B*,老,rûʔ,louᴮ,,,壽考,duʔ khû? R!,dźuᴮ kʰouᴮ,,,,,,
9a,3A.24a. C,瑁,mûh,mouꟲ,,,冒,mûh,mouꟲ,,,,,,
9b,2A.4b. B,戊,muh,muꟲ R!,,,茂,muh R!,muꟲ R!,,,,,,
10a,2A.3b. B,卯,mrûʔ,mɔuᴮ,,,茂,muh R!,muꟲ R!,,,,,,
10b,3A.20b. B,不周,tiu,tśu,,,不交,krâu or kriâu,kau,,,,,,
11,3B.7a. B,婦,bəʔ R!,buəᴮ R!,,,服,bək,buk,,,,,,
12,2A.4b. B*,丑,rhuʔ or nhruʔ,ṭʰuᴮ,,,紐,nruʔ,ṇuᴮ,,,,,,
13,3B.14a. C,九,kuʔ / kwəʔ ?,kuᴮ R!,,,究,kuh ~ kwəh,kwuəꟲ R!,,,,,,
14,3A.8a. B,舅,ɡuʔ R!,ɡuᴮ,,,舊,ɡwəʔ/h R!,ɡuꟲ,,,,,,
15,2A.4a. B*,酉,juʔ,juᴮ,,,老,rûʔ,louᴮ,,,,,,
16,4B.16a. C,柩,ɡwəh,ɡuꟲ,,,究,kuh ~ kwəh,kwuəꟲ R!,,,久,kwəʔ R!,kwuəᴮ R!,
17,1B.9b. B*,蕭,siû,seu,,,勠,"riu, riuh",liu(ꟲ),,,肅,siuk,siuk,
18,1B.9b. E,鞀,dâu,dɑu,,,道,lûʔ,douᴮ,,,,,,
19,3B.5a. B,教,krâuh,kauꟲ,,,效,ɡrâuh,ɡauꟲ,,,,,,
20,Quewen 4a. E,朝,trau,ṭiɑu,,,朝,drau,ḍiɑu,,,,,,morning
21,3A.21b. C,賈,kâʔ,kɑᴮ,,,固,kâ(k)h,kɑꟲ,,,,,,"to trade, do business"
22,3A.7b C,華,wrâ or wâ,ɣua,wrâh or wâh,ɣuaꟲ,穫,ɡwâk,ɣuɑk,,,,,,
23,4A.18b. B,嫁,krâh,kaꟲ,,,家,krâ,ka,,,,,,
24,3B.7a. B,夫,pa,puɑ,,,扶,ba,buɑ,,,,,,
25,3B.7a. B*,父,baʔ,buɑᴮ,,,矩,kwaʔ,kyɑᴮ,,,,,,
26,2A.4b. C,羽,waʔ,wɑᴮ,,,舒,lha,śɑ,,,,,,
27,4A.18b. B,娶,tshoh,tsʰioꟲ,,,取,tshoʔ,tsʰioᴮ,tshoh,tsʰioꟲ,,,,
28,2A.1b. C,火,hmə̂iʔ R!,huɑiᴮ,,,化,hŋrôih (or hwâih ?),huaiꟲ,,,,,,
29,2A.1b. C*,火,hmə̂iʔ R!,huɑiᴮ,,,委隨,ʔoiʔ s-wai,ʔyaiᴮ zyai,,,,,,
30,4A.1a. D*,地,r-laih,diꟲ?,,,施,lhai,śai,lhaih,śaiꟲ,諦,têh,teꟲ,
31,3B.9b. C,脾,be,bie,,,⿰亻井,???,???,,,,,,
32,2B.6a. D,麋,mri,mɨ,,,迷,mî,mei,,,,,,
33,4B.16a. C,尸,lhi,śi,,,陳,drin R!,ḍin,,,,,,
34,1B.7a. E,夷,ləi,ji,,,易,lekh,jeꟲ,,,,,,easy
35,3B.8a-b. B,姊,tsiʔ,tsiᴮ,,,咨,tsi,tsi,,,,,,
36a,4B.10a C,死,siʔ !,siᴮ,,,澌,???,???,,,,,,
36b,2A.1a. C,水,lhuiʔ ?,"śuiᴮ, S tśuiᴮ",,,准,???,???,,,,,,
37,3A.24b. B,摯,təts,tśih,,,質,tət,tśit,,,,,,to substantiate
38,1A.14b. C,諡,ɡih,źiꟲ < ɡiꟲ ,,,引,linʔ,jinᴮ,,,,,,
39,4B.13b. C,禭,s-jus,zuis,,,遺,wih,wiꟲ,,,,,,to present
40,4A.5a. B,衣,ʔəi,ʔɨi,ʔəih,ʔɨiꟲ,隱,ʔənʔ,ʔɨənᴮ,,,,,,
41,3B.8b. B,妹,mə̂s,məs,,,末,mât,mɑt,,,,,,
42,3B.8b. B,弟,dîʔ,deiᴮ,,,悌,dîh,deiꟲ,,,,,,
43,3B.9a. B,禮,rîʔ,leiᴮ,,,履,riʔ,liᴮ,,,,,,
44,2A.3a. E,西,sî (< snî ?),sei,,,遷,tshan or tshen,tsʰian,,,,,,
45,3B.19a. C*,拜,prêts,pɛs,,,服,bək,buk,,,,,,
46,3B.9a. C,肺,phats,pʰuɑs,,,費,phəts,pʰus,,,,,,
47,4B.10a. E,薨,hmə̂ŋ,huəŋ,,,亡,maŋ,muɑŋ,,,,,,
48,4B.13b. C,贈,dzə̂ŋh,dzəŋꟲ,,,稱,k-hləŋh (or thəŋh?),tśʰɨŋꟲ,,,,,,make equal to
49,Quewen 2b. C,烝,təŋ,tśɨŋ,,,衆,???,???,,,,,,
50,3A.20a. C*,風,pəm,puəm,,,萌,mrâŋ or mrêŋ ?,mɛŋ,,,,,,
51,2A.4b. B,冬,tûŋ,touŋ,,,終,tuŋ,tśuŋ,,,,,,
52,Quewen 2b. E,冬,tûŋ,touŋ,,,衆,tuŋh = tjuŋh ?,tśuŋꟲ,,,,,,
53,3A.23b. C,琮,dzûŋ,dzouŋ,,,宗,tuŋ,tśuŋ,,,,,,
54,4B.13b. B,賵,pʰuŋh or pʰəŋh,pʰuŋꟲ,,,覆,phukh,pʰuꟲ,,,,,,"to cover, protect"
55,2A.4b. B; Quewen 6b. C*,宮,kuŋ,kuŋ,,,中,truŋ,ṭuŋ,,,,,,
