,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan
201,4751a. A,㥟,ɡrê,ɡɛ,,,膎,ɡrê,ɡɛ,,,,,,,,,
202,617a. A,哇,"ɡwrê, ɡwrêh",ɣuɛ(ꟲ),,,醫,ʔə,ʔɨ,,,,,,,,,
203,1552a. A,⿱艹丨,???,???,,,𦮃,???,???,,,,,,,,,
204,(4159b). B,𠂢,???,???,,,稗,brêh,bɛꟲ,,,,,,,,,
205,5873a-b. A*,纗,???,???,,,畫,wrêkh or wêk,ɣuɛꟲ,,,,,維,wi,wi,,
206,6289b. A,䥯,???,???,,,嬀,kwai,kyai,,,,,,,,,
207,5362a. B*,𦗕,???,???,,,渳,mêʔ,mieᴮ,,,,,靡,mai,mɨɑi,maiʔ,mai
208,6686b. A,醨,rai,liai,,,離,rai,liai,,,,,,,,,
209,693b. A,䞾,drai,ḍiai,,,池,drai,ḍiai,,,,,,,,,
210,1036b. B*,誃,drai,ḍiai,,,哆,k-ihaiʔ,tśʰaiᴮ,,,,,,,,,
211,3738a. A,褫,"dre, dreʔ",ḍie(ᴮ),,,池,drai,ḍiai,,,,,,,,,
212,5188a. A,𩆵,se,sie,,,斯,se,sie,,,,,,,,,
213,1330b. C,⿰也支,lhaih,śaiꟲ,,,施,lhaih,śaiꟲ,,,,,,,,,
214,3861a. A,䙾,???,???,,,馳,drai,ḍiai,,,,,,,,,
215,5606a. B,妓,—,ɡɨeᴮ,,,跂,"kheʔ, kheh",kʰieᴮ/ꟲ,ɡe,ɡie,,,,,,,
216,5664a. A,乀,—,pʰut,,,移,lai,jai,,,,,,,,,
217,4674a. A,㥴,le,je,,,移,lai,jai,,,,,,,,,
218,2911b. A,暆,lai,jai,,,酏,lai,jai,,,,,,,,,
219,3902b. A,𠩗,lai,jai,,,移,lai,jai,,,,,,,,,
220,4144b. A. alt.,庳,beʔ,bieᴮ,,,逋,pâ,pɑ,,,,,,,,,
221,5919a. B,紕,bih R!,"bie, biꟲ","phi, phe","pʰi, pʰie",玭,???,???,,,,,,,,,
222,1190b. A,鬹,???,???,,,媯,kwai,kyai,,,,,,,,,
223,3929a-b. A ,𩓸,kwe,kye,,,規,kwe,kye,,,,,,,,,
224, (369b). B,蘳,hwai,hyai,,,墮,hwai,hyai,,,,,,,,,
225,2520b. A,杝,draiʔ,ḍiaiᴮ,,,阤,draiʔ,ḍiaiᴮ,,,,,,,,,
226,5423a. B,抧,keʔ,kieᴮ,,,扺,keʔ,kieᴮ,,,,,,,,,
227,4017a. B,𦓚,toiʔ,tśuaiᴮ,,,捶,toiʔ,tśuaiᴮ,,,,,,,,,
228,4302b. A,䮔,toiʔ,tśuaiᴮ,,,箠,toiʔ,tśuaiᴮ,,,,,,,,,
229,4249a. A,𧰲,???,???,,,弛,lhaiʔ,śaiᴮ,,,,,,,,,
230,"6257a. A, B*",鉹,???,???,,,𢴨,???,???,,,,,侈,k-lhaiʔ,tśʰaiᴮ,,
231,4227a. C,豕,lheʔ ?,śeᴮ,,,豨,"həi, həiʔ",hɨi(ᴮ),,,,,,,,,
232,(6285a). B*,䤥,???,???,,,毀,hmaiʔ,hyɑiᴮ,,,,,,,,,
233,5704b. A,羛,"ɡai, ɡaiʔ, ŋaiʔ","ɡɨai(ᴮ), ŋɨaiᴮ",,,錡,"ɡai, ɡaiʔ, ŋaiʔ","ɡɨai(ᴮ), ŋɨaiᴮ",,,,,,,,,
234,4173b.,𠷏,ʔoi-,ʔyai,,,骫,ʔoi-,ʔyai,,,,,,,,,
235,1725b. A,𠕩,???,???,,,罷,bai,bɨɑi,,,,,,,,,
236,1350b. A,敉,meʔ,mieᴮ,,,弭,meʔ,mieᴮ,,,,,,,,,
237,4784a. A,㥝,???,???,,,沔,menʔ,mianᴮ,,,,,,,,,
238,692b. C,䞨,khweʔ,kʰyeᴮ,,,跬,khweʔ,kʰyeᴮ,,,,,,,,,
239,894a. A,跛,paih,pɨɑiꟲ,,,彼,paiʔ,pɨɑiᴮ,,,,,,,,,
240,3044a. A,朿,tshekh,tsʰieꟲ,,,刺,tshekh,tsʰieꟲ,,,,,,,,,
241,4022a. A,卶,k-lhaiʔ,tśʰaiᴮ,,,侈,k-lhaiʔ,tśʰaiᴮ,,,,,,,,,
242,604b. A,啻,lhek,śeꟲ,,,鞮,"tê, dê","te, de",,,,,,,,,
243,2744b. A,䞈,???,???,,,貴,kwəs,kus,,,,,,,,,
244,5627a. A,孈,???,???,,,隓,lôiʔ,duɑiᴮ,,,,,,,,,
245,1441a. B*,睼,???,???,,,瑱,thîns,tʰenꟲ,,,,,,,,,
246,3329a. A,㿛,???,???,,,隸,rîs or lîs,les,,,,,,,,,
247,3843a. A,䚕,???,???,,,池,drai,ḍiai,,,,,,,,,
248,1023a. A*,伿,—,ɡeᴮ,,,𩜬,???,???,,,,,,,,,
249,5722a. C,匚,paŋ,puɑŋ,,,傒,ɡêh,ɡeꟲ,,,,,,,,,
250,1419a. B,䀘,wê,ɣue,,,攜,wê,ɣue,,,,,,,,,
251,3610b. A,儡,"rûi, rûiʔ",luəiᴮ,,,雷,rûi,luəi,,,,,,,,,
252,3925b. A,顝,khûi,kʰuəi,,,魁,khûi,kʰuəi,,,,,,,,,
253,1336b. A,敳,???,???,,,豤,khə̂nʔ,kʰənᴮ,,,,,,,,,
254,3947a. B. alt.,頛,???,???,,,齧,ŋêt,ŋet,,,,,,,,,
255,4121b. A,嶏,???,???,,,費,phəts,pʰus,,,,,,,,,
256,4402b. A,犻,"bə̂t, bə̂ts","bət, bəs",,,孛,"bə̂t, bə̂ts","bət, bəs",,,,,,,,,
257,3928a. A*,𩒳,mə̂s,məs,,,昧,mə̂s,məs,,,,,,,,,
258,1698b. A,㕢,kə̂s,kəs,,,概,kə̂s,kəs,,,,,,,,,
259,5944b. A,螝,"kui, kuih",kui(ꟲ),,,潰,(ɡ)wə̂s R!,ɣuəs,,,,,,,,,
260,(5515a). A,𠦬,krûi,kuɛi,,,乖,krûi,kuɛi,,,,,,,,,
261,183b. A,瑎,ɡrî,ɡɛi,,,諧,ɡrî,ɡɛi,,,,,,,,,
262,2506. B,㮰,piʔ,piᴮ,,,枇,piʔ,piᴮ,,,,,,,,,
263,182a. A,瑂,mui,mɨ,,,眉,mui,mɨ,,,,,,,,,
264,5970a. A*,蚳,dri,ḍi,,,祁,ɡri,ɡɨ,,,,,,,,,
265,(975b). B,謘,dri,ḍi,,,遟,dri,ḍi,,,,,,,,,
266,824b. A*,徲,dri,ḍi,,,遲,dri,ḍi,,,,,,,,,
267,5192b. A,𩄚,tsi,tsi,,,資,tsi,tsi,,,,,,,,,
268,183a. C,㺨,si,si,,,私,si,si,,,,,,,,,
269,1545. A,奞,hwi,hui,,,睢,hwi,hui,,,,,,,,,
270,2693b. A,甤,nui,ńui,,,綏,snui,sui,,,,,,,,,
271,4393a. A. alt.,狋,???,???,,,銀,ŋrən,ŋɨn,,,,,,,,,
272,182a. A,琟,wi,wi,,,維,wi,wi,,,,,,,,,
273,1835a. A. alt.,刏,kəi,kɨi,,,㱯,???,???,,,,,,,,,
