#page	num	CH	OJ	OC	LH	EMC	LMC	GO	KN	NOM	SV	SK	LH
13	1	阿	a	*ʔâ	*ʔa	ʔa		a	a	a	a	a	*ʔa
14	2	安	a, ana	*ʔân	*ʔɑn	ʔân		amu, a	an	an	an	an	*ʔɑn
15	3	婀	a	---		ʔa		a	a	a	ả	a	
15	4	鞅	a	*ʔaŋ		ʔɨaŋ		au	yau	anh	ảnh	ang	
16	5	吾	a	*ŋâ	ŋɑ > ŋɔ	ŋɔ		go	go	ngo	ngô	wo	ŋɑ > ŋɔ
16	6	足	a	*tsok	tsiok	tsuawk		soku, su	syoku, syu	túc	túc	sywok, swu	tsiok
16	7		a	---	---	---		---	---	---	---	---	---
17	8	英	aga, a	*ʔraŋ	ʔɨaŋ	ʔiajŋ		au	ei	anh, yêng	anh	yeng	ʔɨaŋ
17	9	惡	aku	*ʔâk	ʔak	ʔak		a, aku	aku	anh, yêng	anh	yeng	ʔak
17	10	菴	ama	*ʔam	ʔəm or ʔɨam	ʔəm > ʔam		amu	amu	---	am	am	ʔəm or ʔɨam
17	11	奄	ama, amu	*ʔramʔ	ʔɨəmʔ	ʔiam		emu	emu	im	yểm	em	ʔɨəmʔ
18	12	闇	amu	*ʔəmʔ or *ʔəms	ʔəmh or ʔəmh	ʔəm > ʔam		amu	amu	---	am, ám	am	ʔəmh or ʔəmh
18	13	鴨	apa	---	---	ʔaɨp	ʔja:p	efu	afu	---	áp	ap	---
18	14	姶	api	---	---	---		afu	afu	---	ạp	ap	---
18	15	B	ayu	*ʔ̂ts	*ʔəs > ʔəh	ʔəj	ʔaj	ai	ai	ái	ái	oy	*ʔəs > ʔəh
19	16	婆	ba	*bâ	bɑi	bwâ		ba	fa	bà	ba, bà	pha	bɑi
20	17	伐	ba	*bat	buɑt	bjwɐt		bati	fatu	phạt	phạt	pel	buɑt
21	18	麼	ba	*maiʔ	mɨɑiʔ	ma	mba	ma	ba	---	mả	ma	mɨɑiʔ
21	19	魔	ba	---	---	ma	mba	ma	ba	ma	ma	ma	---
21	20	磨	ba	*mâ	mɑi > ma	ma	mba	ma	ba	mài	ma, mạ	ma	mɑi > ma
22	21	薄	ba	*bâk	bak	bâk		baku	faku	bạc	bác	pak	bak
22	22	倍	be	*bə̂ʔ	bəʔ	bwậiʔ		bai	fai	bội, vội	bội	poy, phay	bəʔ
23	23	陪	be	*bə̂	bə	bwậi		bai	fai	bồi	bồi	poy	bə
23	24	毎	be	*mǝ̂ʔ	məʔ	mwậi	bmuaj	mai	bai	mỗi, mọi	mỗi	moy	məʔ
23	25	鼻	bi	*bit or *bits	bit or bis	bjiet or bih		bi	fi	---	tị, tĩ	pi	bit or bis
24	26	毘	bi	*bi	bi	bji		bi	fi	---	tì, bì	pi	bi
25	27	婢	bi	*beʔ	bieʔ	bjieʔ		bi	fi	tì	tì	pi	bieʔ
25	28	彌	bi	*me	mie	mjie		mi	bi	---	di, ri, nhĩ	mi	mie
25	29	寐	bi	*mis	mis	mih		mi	bi	mị	mị	pi	mis
26	30	弭	bi	*meʔ	mieʔ	mjieʔ	mbji	mi	bi	nhẹ	mễ	mi	mieʔ
26	31	妣	bi	*piʔ or *pih	piʔ, pih	pih	mbji	fi	bi	---	tỉ	pi	piʔ, pih
26	32	煩	bo	*ban	buan	bjwɐn		bomu	fan	phiền	phiền	pen	buan
27	33	夫	bu	*ba or *pa	buɑ, puɑ	bju, pju		bu	fu	phu	phù	pwu	buɑ, puɑ
29	34	扶	bu	*ba or *pa	buɑ, puɑ	bju, pju		bu	fu	phù, phò, vùa	phù	pwu	buɑ, puɑ
29	35	部	bu	*bôʔ	boʔ	bəuʔ		bu	fo	bộ, bõ	bộ	pwu	boʔ
30	36	父	bu	*baʔ or *paʔ	buɑʔ, puɑʔ	bjuʔ, pjuʔ	fɦu	bu	fu	phụ	phụ	pwo, pwo	buɑʔ, puɑʔ
31	37	府	bu	*poʔ	puoʔ	pjuʔ		fu	fu	phủ	phủ	pwu	puoʔ
31	38	歩	bu	*bâh	bɑh	buoh	pɦuə	bu	fo	bộ	bộ, bò	pwo	bɑh
31	39	矛	bu	*mu	mu	məu	mbuw	mu	bu	mâu	mâu	mwu, mwo	mu
31	40	符	bu	*bo	buo	bju	fɦuə	bu	fu	phù, bùa	phù	pwu	buo
32	41	鶩	bu	*moh	muoh	mjuh		mu	bu	---	vụ, vu	mwu	muoh
32	42		bu	---	---	---		---	---	---	---	---	---
32	43	備	bwi	*brəkh	bɨəh > bɨh	bjɨh		bi	fi	bị, vựa	bị	pi	bɨəh > bɨh
33	44	肥	bwi	*bəi	bui	bjwei		bi	fi	phì, phề, phè	phì	pi	bui
33	45	媚	bwi	*muih	mɨh	mji	mbi	mi	bi	mị	mị	mi	mɨh
34	46	眉	bwi	*mui or *məiʔ	mɨ, muiʔ	mji, mjweiʔ	mbi	mi	bi	mì, mày	mi	mi	mɨ, muiʔ
34	47	縻	bwi	*mai	mɨe	mje	mbiə	mi	bi	---	mi	mi	mɨe
34	48	婢	bye	*beʔ	bieʔ	bjieʔ		bi	fi	tì	tì	pi	bieʔ
34	49	謎	bye	*mîh	meih	mieih	mbɛj	mei	bei	mê	mê	mi	meih
35	50	D	bye	*bôʔ	boʔ	bəuʔ		bu	fo	bộ, bõ	bộ	pwu	boʔ
36	51	大	da	*dâs	dɑh, das	dâih		dai	tai	đại	đại, thái	ta, tay, thay	dɑh, das
36	52	太	da	*thâs	thɑs	thâih		tai	tai	thái	thái	thay	thɑs
37	53	陁	da	draiʔ	ḍiaiʔ	ḍjeʔ		da	ta	đà	đà	tha	ḍiaiʔ
37	54	騨	da	*dâi or dân	dɑi or dan	dâ or dân		da, dan	ta, tan	---	---	tha, than	dɑi or dan
37	55	娜	da	---	---	na	nda	na	da	na, nạ	nã	na	---
38	56	嚢	da	*nâŋ	nɑŋ	nâŋ	ndaŋ	nau	dau	nang	nang	nang	nɑŋ
38	57	儾	da	*nâŋ	nɑŋ	nâŋh	ndâŋh	nau	dau	---	náng	nang	nɑŋ
39	58	談	dami	*lâm	dam	dâm		dan	tan	đàm	đàm	tam	dam
39	59	弾	dani	*dân	dan	dân		damu	tan	đàn, đạn, rờn	đàn	than	dan
39	60	傳	de	*dron	ḍyan	ḍjwän		demu	ten	truyền, chuyện	truyền, truyện	cyen	ḍyan
39	61	殿	de	*təns	denh	dienh		demu	ten	điện, đền, Çiếng	điện, điên, điến, SK: tyen		denh
39	62	代	de	*̂kh	dəh	dậih		dai	tai	đại, đời	đại	toy	dəh
40	63	堤	de	*dê	de	diei	tiaj	tai	tei	đê	đê, đề	tyey	de
40	64	提	de	*têʔ or dê	teh, de	tieih, diei		dai	tei	đê, đề, chề	đề, thì	tyey	teh, de
40	65	低	de	*tî	tei	tiei		tai	tei	đê	đê	tye	tei
40	66	田	de	*lîn	den	dien		demu	ten	điền, ruộng	điền	tyen	den
41	67	弟	de	*dîʔ	deiʔ	dieiʔ	tɦiaj	dai	tei	đệ	đệ, đễ	tyey	deiʔ
