璫	當	3-32
廿	入	37-16
貎	鯢	7-11
暟	闓	27-2
衫	彡	15-8
蹤	樅	12-22
轃	臻	32-31
轃	帴	24-41
淇	琪	4-4
鄹	緅	10-35
鄹	聚	10-35
花	華	1-27
紋	文	33-36
韻	員	23-10
箋	帴	24-41
趺	夫	1-66
澍	尌	10-22
澍	鑄	13-22
喚	奐	23-12; 25-13
溏	唐	3-12
炯	冋	9-8
炯	熲	9-7
踏	嚃	37-10
盒	合	37-1
鄒	騶	10-36
勛	熏	34-15
沄	芸	34-14
沄	餫	34-13
頁	頡	29-1
篌	侯	10-6
鎔	容	12-11
紜	云	34-14
炅	熲	9-7
炅	桂	7-8
瘢	般	24-48
崎	觭	18-1
崎	旂	33-2
璘	燐	32-26
嬆	翕	37-1
了	瞭	16-24
痴	笞	4-30
俌	甫	1-67
俌	弣	10-39
洧	鮪	4-17
祤	羽	1-24
祤	詡	1-24
昶	畼	3-38
巇	戲	18-7
斦	圻	33-2
𣧑	凶	12-5
晴	請	9-25
鑒	鑑	36-5
箏	爭	9-23
稀	希	27-6
榷	搉	17-1
嗤	蚩	4-27
滓	𠂔	26-28
埆	觳	11-3
澎	彭	3-59
澎	亨	3-17
漳	章	3-31
靂	歷	8-13
圢	町	9-11
圢	町	9-11
驤	襄	3-42
㜰	藥	17-8
㜰	爍	17-8
廂	相	3-55
駬	耳	4-40
嵗	歲	22-5
