阿	ʔa
安	ʔɑn
婀	
鞅	
吾	ŋɑ ŋɔ
足	tsiok
英	ʔɨaŋ
惡	ʔak
菴	ʔəm ʔɨam
奄	ʔɨəmʔ
闇	ʔəmh
鴨	
姶	
愛	ʔəs ʔəh
婆	bɑi
伐	buɑt
麼	mɨɑiʔ mɨɑi mɨe
魔	
磨	mɑi ma
薄	bak pʰak
倍	bəʔ
陪	bə
毎	məʔ
鼻	bit bis
毘	bi
婢	bieʔ
彌	mie mieʔ
寐	mis
弭	mieʔ
妣	piʔ pih
煩	buan
夫	buɑ puɑ
扶	buɑ puɑ
部	boʔ
父	buɑʔ puɑʔ
府	puoʔ
歩	bɑh
矛	mu
符	buo
鶩	muoh
備	bɨəh bɨh
肥	bui
媚	mɨh
眉	mɨ muiʔ
縻	mɨe
謎	meih
大	dɑh das
太	tʰɑs
陁	ḍiaiʔ
騨	dɑi dan
娜	
嚢	nɑŋ naŋ
儾	nɑŋ
談	dam
弾	dan
傳	ḍyan
殿	denh
代	dəh
堤	de
提	teh de
低	tei
田	den
弟	deiʔ
泥	nei neih neiʔ
埿	nei neiʔ neih
涅	net
耐	nəh
遲	ḍih
治	ḍiə ḍiəh
地	dih
尼	ṇi neih
旎	ṇe
膩	ṇis
道	douʔ
路	lah lɔh
縢	dəŋ
杼	ḍiɑʔ
騰	dəŋ
藤	dəŋ
特	dək
迺	nəʔ
頭	do
豆	doh
逗	doh
圖	dɑ
弩	nɑʔ naʔ
砮	nɑ naʔ
曇	dəm
土	tʰɑʔ
度	dɑh
渡	dɑh
奴	nɑ
怒	nɑh naʔ
衣	ʔɨi ʔɨih
亞	ʔah
依	ʔɨi
哀	ʔəi
埃	iə
榎	kah
荏	ńimʔ
得	tək
朴	pok
我	ŋɑiʔ
奇	kɨɑi kɨai ɡɨai
宜	ŋɨɑi
賀	ɡɑih
何	ɡai
河	ɡɑi
蛾	ŋɑi
餓	ŋɑih
峨	ŋai
俄	ŋɑi
鵝	ŋɑi
義	ŋɨɑih
礙	ŋəh
碍	ŋəh
皚	
祇	kie ɡɨi gɨi
藝	ŋias
儀	ŋɨɑi
蟻	ŋɨɑiʔ
𡺸	ɡɨ
其	ɡɨə
期	ɡɨə kɨə
碁	ɡɨə
凝	ŋɨəŋ
語	ŋɨɑʔ ŋɨɑh
馭	ŋîɑ
御	ŋɨɑh ŋɨah
具	ɡuoh
遇	ŋɨoh
娯	ŋyɑ ŋuɔ
求	ɡu
隅	ŋɨo
愚	ŋɨo
虞	ŋyɑ
群	ɡun
疑	ŋɨə
擬	ŋɨəʔ
胡	ɡɑ ɡɔ
候	ɡo
後	ɡoʔ ɣoʔ
誤	ŋuɑh ŋuoh
呉	ŋuɑ ŋuɔ
悟	ŋɑh ŋɔ
下	ɡaʔ
牙	ŋa
介	kɛs
雅	ŋaʔ
夏	ɡaʔ
霓	ŋe ŋet
伊	ʔi
夷	ji
移	jɑi jai je
已	jəʔ jɨʔ
異	jəh
以	
怡	jə
易	jeh jek
射	źak źah
五	ŋɑʔ
膽	tɑmʔ
因	ʔin
印	ʔinh
揖	tsip
壹	ʔit
加	kai
居	kɨɑ kɨɑh
迦	ka
可	khɑiʔ
訶	hɑi
哥	kɑi
歌	kɑi
哿	kɑiʔ
珂	khɑi
箇	kaih
嘉	kai
架	kah
伽	ɡa
舸	khɑi
柯	kɑi
軻	khɑi khɑih khɑiʔ
香	hɨɑŋ
髪	puɑt
蚊	mun
鹿	lok
芳	pʰuɑŋ
歟	jɑ
各	kɑk
覺	kɔk
甘	kɑm
含	ɡəm
敢	kɑmʔ
干	kɑn
閑	ɡɛn
漢	hɑnh
甲	kap
合	ɡəp
韓	ɡan
葛	kɑt
考	khouʔ
既	kɨs kɨj
希	hɨi
擧	kɨɑʔ
氣	kɨs kɨj
戒	kɛh
開	khəi
該	kə
慨	khəh
概	kəh
凱	khəi
愷	khəi
階	kɛi
毛	mau
食	źɨk
飼	ziəh
消	siau
笥	siəh
支	tśe
耆	ɡɨ
岐	ɡie
吉	kit
枳	kieʔ
棄	khis
伎	kie
企	khieʔ khieh
祁	ɡɨ
來	lə
寸	tshuənh tshənh
杵	tśhɑʔ
己	kɨəʔ kɨə
許	hɨɑ
去	khɨɑh
巨	ɡɨɑʔ ɡyaʔ
虚	hɨɑ
忌	ɡɨəh
莒	kɨɑʔ
據	kɨɑh
渠	ɡɨɑ
