鵠	gouk kouk
飾	śɨk
葵	gwi
羹	kaŋ
歇	hɨɑt
葩	pʰa
桂	kueᶜ
鴦	ʔɨɑŋ
絕	dzyat
芝	tśɨ tśə
兮	ɣei
大	dɑs dɑh dɑᶜ dɑs
返	puɑnᴮ
晚	muɑnᴮ
憙	hɨəᴮ hɨᴮ
俙	hɨi
貸	tʰəᶜ
潏	kuet juit jut
蔚	Ɂus Ɂut
阿	ʔɑ ʔɑi
於	Ɂiɑ
哀	Ɂəi
崖	ŋaɨ
涯	ŋaɨ
睚	ŋaɨ
藹	ʔɑs
艾	ŋɑs ŋiɑs
愛	Ɂəs
僾	Ɂəs
薆	Ɂəs
礙	ŋəᶜ hiɑi
安	Ɂɑn
按	Ɂɑnᶜ
鞍	Ɂɑn
喑	Ɂəm Ɂimᶜ
唵	Ɂəmᴮ
晻	Ɂəmᴮ Ɂiɑmᴮ
犴	ŋɑnᶜ
岸	ŋɑnᶜ
厂	hɑnᶜ
滸	hɑᴮ
黯	Ɂəmᴮ
暗	Ɂəmᶜ
闇	Ɂəmᶜ
卬	ŋɑŋ
昂	ŋɑŋ
盎	Ɂɑŋᶜ
鼇	ŋɑu
嗷	ŋɑu
熬	ŋɑu
澳	Ɂouᶜ
隩	Ɂouᶜ
傲	ŋɑuᶜ
八	pɛt
巴	pa tśʰoŋ
疤	pa
豝	pa
胈	pɑt
犮	bɑt
拔	bɑs bat
沛	bɑs
茇	pɑt bɑt
跋	bɑt
耙	ba baᶜ
杷	ba baᶜ
把	paᴮ
罷	baiᴮ biɑi
霸	paᶜ pʰak
白	bak
百	pak təŋᶜ
捭	pɛᴮ
敗	pas bas
拜	pas
粺	bɛᶜ
班	pan kʰim ŋimᴮ
斑	pan
搬	pɑn
板	panᴮ
版	panᴮ
昄	panᴮ banᴮ
半	pɑnᶜ
判	pʰɑnᶜ
片	pʰɑnᶜ pʰenᶜ
泮	pʰɑnᶜ
畔	bɑnᶜ
釆	bɛnᶜ bɨanᶜ
瓣	bɛnᶜ
辨	bianᴮ
辯	bianᴮ
辦	bɛnᶜ
邦	pɔŋ
榜	pɑŋᴮ
棒	bɔŋᴮ
旁	bɑŋ bɑŋᶜ
徬	bɑŋᶜ
包	pɔu
胞	pɔu
剝	pɔk
保	pouᴮ
葆	pouᴮ
褓	pouᴮ
飽	pɔuᴮ
寶	pouᴮ
抱	bouᴮ
報	pouᶜ
卑	pie
埤	bieᴮ
庳	bieᴮ
婢	bieᴮ
惇	piɑi piɑiᶜ tuən
頗	pʰɑi
坡	pʰɑi
僻	pʰiek
避	bieᶜ
杯	pə
桮	pə
悲	pii
北	pək
貝	pɑs
否	biəᴮ
愎	bik
倍	bəᴮ
陪	bə
培	bə bəuᴮ
裒	bo
備	biəᶜ
被	biɑiᴮ biɑiᶜ pʰiɑi pʰiɑiᶜ
背	bəᶜ pəᶜ
奔	pən
賁	pən
本	pənᴮ
伻	pʰɛŋ
崩	pəŋ mut huət
繃	pɛŋ
菶	boŋᴮ poŋᴮ
迸	pɛŋᶜ
塴	pəŋᶜ
偪	pik
逼	pik
鼻	bis
比	piᴮ piᶜ biᶜ
頻	bin
妣	piᶜ piᴮ
秕	piᴮ
疕	pʰiᴮ pʰieᴮ
彼	piɑiᴮ
筆	pit
鄙	piəᴮ
俾	pieᴮ
必	pit
泌	pis
柲	pis pit
刑	geŋ
閟	pis
畀	pis
敝	bies
弊	bies
斃	bies
蔽	pies
辟	piek biek
臂	pieᶜ
躄	piek
嬖	peᶜ
髀	beᴮ pieᴮ
閉	pet pes
畢	pit
篳	pit
彃	pit
夷	pit ji
編	pen
辮	penᶜ
猵	pen
邊	pen
籩	pen
扁	penᴮ
褊	pianᴮ
篇	pʰian
貶	piamᴮ
窆	piamᶜ
弁	biɑnᶜ pʰuɑn
便	bienᶜ
變	piɑnᶜ
遍	penᶜ
髟	piu piau ṣam
熛	piau
標	piau piauᶜ
剽	pʰiau piauᴮ
別	piɑt biɑt
賓	pin pinᶜ
殯	pinᶜ
嬪	bin
濱	pin
稟	limᴮ pimᴮ
髕	binᴮ
臏	binᴮ
兵	piaŋ
冰	piŋ
凌	liŋ
炳	piaŋᴮ
昺	piaŋᴮ
邴	piaŋᴮ
秉	piaŋᴮ
柄	piaŋᶜ
怲	piaŋᴮ piaŋᶜ
并	pieŋ pieŋᶜ
並	beŋᴮ
併	beŋᴮ
駢	ben
屏	pieŋᶜ beŋ
偋	bieŋᶜ
病	biaŋᶜ
波	pɑi
缽	pɑt
伯	pak
帛	bak
膊	pɑk pʰɑk
胉	pak
薄	bɑk
礴	bɑk
鎛	pɑk
博	pɑk
駁	pɔk
踣	pʰoᶜ bək
勃	bət
跛	pɑiᴮ
播	pɑiᶜ
簸	pɑiᶜ pɑiᴮ
譒	pɑiᶜ
擘	pɛk
逋	pɑ
餔	pɑ pɑᶜ
卜	pok
補	pɑᴮ
不	pu puᴮ
弗	put
布	pɑᶜ
溥	pʰɑᴮ
尃	pʰuɑ
敷	pʰuɑ
鋪	pʰuɑ
甫	puɑᴮ
步	bɑᶜ
哺	bɑᶜ
部	boᴮ
才	dzə
材	dzə
財	dzə
纔	dzə
采	tsʰəᴮ tsʰəᶜ
菜	tsʰəᶜ
參	tṣʰəm tsʰəm ṣəm
餐	tsʰɑn
蠶	dzəm
噆	tsʰəmᴮ tsəp
燦	tsʰɑnᶜ
粲	tsʰɑnᶜ
倉	tsʰɑŋ
凔	tṣʰɑŋ tṣʰɑŋᶜ
蒼	tsʰɑŋ
藏	dzɑŋ dzɑŋᶜ
臟	dzɑŋᶜ
葬	tsɑŋᶜ
操	tsʰɑu tsʰɑuᶜ
曹	dzou
草	tsʰouᴮ
造	tsʰouᶜ dzouᴮ
側	tṣik
仄	tṣik
昃	tṣik
測	tṣʰik
惻	tṣʰik
畟	tṣʰik
廁	tṣʰiəᶜ
冊	tṣʰɛk
策	tṣʰɛk
筴	tṣʰɛk
簎	tṣʰak
層	dzəŋ
叉	tṣʰai tṣʰɛ
杈	tṣʰɛᶜ
差	tṣʰɑi tṣʰɛ tṣʰai
臿	tṣʰɛp
竁	tsʰyɑs tsʰios
茶	ḍa
槎	dẓai
柞	tṣak
斮	tṣɑk
察	tṣʰat
剎	tṣʰat
柴	dẓɛ
儕	dẓɛi
蠆	ṭʰas
佔	ṭʰɑm
覘	ṭʰɑm
梴	ṭʰɑn
儃	dźian tʰɑnᴮ
漸	dẓam tsiam dziamᴮ
儳	dẓam dẓɛmᴮ tṣʰamᶜ dẓɛmᶜ
廛	ḍan
纏	ḍan ḍanᶜ
繵	tɑnᶜ dɑnᴮ
鑱	dẓam dẓamᶜ
讒	dẓɛmdẓam dẓamᶜ
闡	tśʰanᴮ
嘽	tśʰanᴮ tʰɑn
幝	tśʰanᴮ
繟	tśʰanᴮ
禪	dźanᶜ
產	ṣɛnᴮ
昌	tśʰɑŋ
常	dźiɑŋ dźɑŋ
裳	dźiɑŋ koᶜ noᶜ
尚	dźɑŋᶜ
嘗	dźɑŋ
場	ḍɑŋ
腸	ḍɑŋ
長	ṭɑŋᴮ ḍɑŋ ḍɑŋᶜ
敞	tśʰɑŋᴮ
唱	tśʰɑŋᶜ
倡	tśʰɑŋᶜ
鬯	ṭʰɑŋᶜ
超	ṭʰau ṭʰiau
剿	tṣʰau
勦	tṣʰau
篡	tṣʰuanᶜ
朝	ṭɑu ḍɑu
潮	ḍɑu
巢	dẓau
車	tśʰa kiɑ
坼	ṭʰak
徹	ḍat ṭʰat
撤	ḍat ṭʰat
滯	ḍas
逝	dźas
適	tśek śek
澈	ḍat
琛	ṭʰim
臣	gin
沈	ḍim tśʰimᴮ
酖	ḍimᶜ
鴆	ḍimᶜ
辰	dźin
晨	dźin źin
塵	ḍin
陳	ḍin ḍinᶜ
縵	ṭʰinᴮ ṭʰi
瀋	tśʰimᴮ
赬	ṭʰeŋ
稱	tśʰiŋ tśʰiŋᶜ
瞠	ṭʰaŋ
成	dźeŋ
盛	dźeŋ dźeŋᶜ
城	dźeŋ
丞	dźiŋ
承	dźiŋ
蒸	tśiŋ
拯	tśiŋᴮ
乘	źiŋ źiŋᶜ
升	śiŋ
昇	śiŋ
棖	ḍaŋ
裎	ḍeŋ
澄	ḍaŋ ḍiŋ
徵	ḍiŋ ṭəŋ
懲	ḍiŋ
酲	ṭʰeŋ ḍeŋ
吃	kit
魑	ṭʰɑi
离	ṭʰɑi
螭	ṭʰɑi
颸	tṣʰə
絺	ṭʰi
池	ḍɑi puɑp
坻	ḍi
墀	ḍi
蚳	ḍi
漦	dẓə
拸	ṭʰɑiᴮ
杝	ṭʰɑiᴮ ḍiɑiᴮ
扡	ṭʰɑiᴮ ḍiɑiᴮ
胣	ṭʰɑiᴮ jɑi
誃	ḍɑi tśʰɑiᴮ
侈	tśʰɑiᴮ
哆	tśʰɑiᴮ
移	tśʰɑiᴮ jɑi
斥	tśʰak
弛	śɑiᴮ śeᴮ
施	śɑi śɑiᶜ
恥	ṭʰəᴮ
齒	tśʰəᴮ
赤	tśʰak tsʰiak
奭	śak hik śek
翅	śeᶜ
飭	ṭʰik
饎	tśʰəᶜ kʰiəᶜ
耡	tśʰəᶜ kʰiəᶜ
沖	ḍuŋ
舂	śoŋ
衝	tśʰoŋ
蟲	ḍuŋ douŋ ḍuŋ
虫	ḍuŋ huiᴮ
重	ḍoŋᴮ ḍoŋ
崇	dẓuŋ
盩	ṭʰʰu
抽	ṭʰʰu
瘳	leu ṭʰu
犨	tśʰu
臭	tśʰuᶜ
嗅	huᶜ
酬	dźu
愁	dẓu
儔	ḍu
讎	dźu
淳	dźuin dźun tśun tśuin
綢	tʰou ḍu
疇	ḍu
丑	ṭʰuᴮ ṇuᴮ
醜	tśʰuᴮ
朽	huᴮ
出	tśʰut tśʰus
黜	ṭʰut
初	tṣʰɑ
創	tṣʰɑŋᶜ
宁	ḍɑ ḍɑᴮ
除	ḍɑ ḍɑᶜ
抒	źiɑᴮ
鋤	dẓɑ
芻	tṣʰo
雛	dẓo
躕	ḍie ḍio
儲	ḍɑ
杵	tśʰɑᴮ
楚	tṣʰɑᴮ
處	tśʰɑᴮ tśʰɑᶜ
觸	tśʰok
絀	ṭut
畜	huk ṭʰuk ṭʰuᶜ huᶜ
川	tśʰon tśʰuan
穿	tśʰon tśʰuan
耑	tuɑn ton
端	tuɑn ton
船	źon źuan
傳	ḍuan ḍon ḍonᶜ ḍuanᶜ tonᶜ ṭuanᶜ
床	dẓɑŋ
撞	ḍɔŋ ḍɔŋᶜ
吹	tśʰuai tśʰoi tśʰuaiᶜ tśʰoiᶜ
衰	ṣui tṣʰuɑi tṣʰoi
垂	dźoi dźuai
硾	ḍoih ḍuaih
礫	ḍuai ḍuaih ḍoi ḍoih
春	tśʰuin tśʰun
脣	źun źuin
漘	źun źuin
醇	dźuin dźun
蠢	tśʰuinᴮ tśʰunᴮ
惷	tśʰuinᴮ tśʰunᴮ
蜳	tuən
忳	duən
政	tṣʰɔk tśeŋᶜ
逴	ṭʰɔk
啜	tśʰot
歠	tśʰot
雌	tsʰie
茨	dzi
胔	dzie tsʰie dzie dzieᶜ
慈	dziə
疵	dzie
辭	ziə
詞	ziə
此	tsʰieᴮ
斯	sie
跐	tsʰieᴮ
次	tsʰis tsʰiᶜ
佽	tsʰis tsʰiᶜ
朿	tsʰieᶜ
刺	tsʰieᶜ tsʰiek tsʰieᶜ mɑŋ
賜	sieᶜ
錫	sieᶜ sek
蔥	tsʰoŋ
從	dzioŋ dzioŋᶜ
叢	dzoŋ
徂	dzɑ
殂	dzɑ
促	tsʰiok
崔	dzuəi
罵	duəiᴮ maᴮ maᶜ
漼	tsʰuəiᴮ
催	tsʰuəi
摧	dzuəi
淬	tsʰuəs tsʰuəis
翠	tsʰus tsʰuis
啐	tsʰuəs
萃	dzus dzuis
瘁	dzus dzuis
悴	dzus dzuis
存	dzən!
忖	tsʰuənᴮ
寸	tsʰuənᶜ
磋	tsʰɑi
撮	tsʰuɑt tsʰot min
鹺	dzɑi
脞	tsʰoiᴮ tsʰuɑiᴮ
掃	souᴮ souᶜ tsʰoiᴮ tsʰuɑiᴮ
莝	ts(ʰ)uɑiᶜ ts(ʰ)oiᶜ
錯	tsʰɑk
厝	tsʰɑk
酢	dzɑk
醋	dzɑk
祚	dzɑᶜ
胙	dzɑᶜ
措	tsʰɑᶜ
搭	təp
達	dɑt
答	təp
對	tuəs
憂	təp
打	teŋᴮ taŋᴮ
太	tʰɑs
泰	tʰɑs
代	dəh
忒	tʰək
詒	dəᴮ jə
汏	dɑs
迨	dəᴮ
待	dəᴮ
帶	tɑs
逮	jis dəs
戴	təᶜ
丹	tɑn
矸	tɑn-kɑn
旃	tśan
單	tɑn
但	dɑnᴮ
癉	tɑiᶜ tɑnᴮ
殫	tɑn
旦	tɑnᶜ
痑	tɑiᶜ tʰɑi tʰɑn
耽	təm
湛	təm tsiam ḍɛmᴮ
擔	tɑm tɑmᶜ
拇	təmᴮ moᴮ
膽	tɑmᴮ
亶	tɑnᴮ
啖	dəmᴮ
啗	dəmᴮ
淡	dɑmᴮ dɑmᶜ
憚	dɑnᶜ
彈	dɑn dɑnᶜ
戰	tśanᶜ
顫	tśanᶜ
窞	dəmᴮ
趨	dɑnᶜ tṣʰo
誕	dɑnᴮ
憺	dɑmᴮ dɑmᶜ
澹	dɑmᴮ dɑmᶜ
當	tɑŋ tɑŋᶜ
黨	tɑŋᴮ
逿	tʰɑŋᴮ dɑŋᴮ
盪	tʰɑŋᴮ dɑŋᴮ dɑŋᶜ
蕩	dɑŋᴮ dɑŋᶜ
刀	tɑu
倒	tɑuᴮ tɑuᶜ
島	touᴮ
擣	touᴮ
禱	touᶜ touᴮ
到	tɑuᶜ
道	douᴮ douᶜ
導	douᶜ hyat
稻	douᴮ
得	tək
德	tək
的	tek teuk
登	təŋ
等	təŋᴮ
燈	təŋ
低	tei
氐	teiᴮ
底	teiᴮ tėi tśiᴮ
滴	tek
堤	de
隄	te
狄	dek
敵	dek
蹢	tek
翟	dek deuk
糴	dek deuk
糶	tʰeuᶜ
滌	dek deuk
笛	dek deuk
篴	dek deuk
蔋	dek deuk
地	diᶜ
弟	deiᴮ deiᶜ
第	deiᶜ
睇	tʰei deiᶜ
帝	teᶜ
禘	deᶜ
疐	tes ṭis
瓞	det
踶	deᶜ
鈦	dɑs des
顛	ten tein dein den
巔	ten tein
頂	teŋᴮ
天	tʰen tʰein ṇanᴮ
傎	ten tein
齻	ten tein
典	tenᴮ
田	dein den deinᶜ denᶜ
甸	deinᶜ denᶜ
殿	denᶜ tenᶜ
電	deinᶜ denᶜ
匸	deinᶜ denᶜ
簟	demᴮ
凋	teu
彫	teu
雕	teu
釣	teuᶜ
垤	deit det
咥	deit det
跌	deit det det
迭	det
輒	tep
牒	dep
丁	teŋ kʰoᴮ
酊	teŋᴮ
鼎	teŋᴮ
定	teŋᶜ deŋᶜ
顁	teŋᶜ
町	deŋᴮ
鋌	deŋᴮ
冬	touŋ
東	toŋ
涷	toŋ
洞	doŋᶜ
動	doŋᴮ
都	tɑ
斗	tśoᴮ toᴮ
豆	doᶜ
荳	doᶜ
逗	doᶜ
脰	doᶜ
鬥	toᶜ
劑	toᶜ
竇	doᶜ dok
毒	douk douh
瀆	dok
櫝	dok
韇	dok
讀	dok
犢	dok
羭	jo
獨	dok
篤	touk
睹	tɑᴮ
賭	tɑᴮ
度	dɑᶜ dɑk
圖	dɑ
渡	dɑᶜ
肚	dɑᴮ tɑᴮ
剬	tuɑn tśuanᴮ duɑn don tśuan tśion
短	tuɑnᴮ tonᴮ toiᴮ
斷	donᴮ donᶜ duɑnᴮ duɑnᶜ donᴮ duɑnᴮ
段	tuɑnᶜ
鍛	tonᶜ tuɑnᶜ
堆	tuəi
碓	tuəiᶜ
槌	ḍui
兌	dos duɑs
奪	duɑt dot dos duɑs
隊	duəs
敦	tuən duɑn don
屯	duən buɑt
窀	duən
肫	tśun tśuin
盾	źunᴮ źuinᴮ
楯	źunᴮ źuinᴮ
頓	tuənᶜ
鈍	duənᶜ
沌	duən duənᴮ
遯	duənᴮ duənᶜ
遁	duənᴮ duənᶜ
多	tɑi
諸	tśɑ
庶	śɑᶜ
掇	ṭuɑt tuɑt
揃	dɑk
朵	toiᴮ tuɑᴮ
鬌	tuɑiᴮ toiᴮ tuɑᴮ
舵	dɑiᴮ
剁	tuɑiᶜ toiᶜ
俄	ŋɑi
鵝	ŋɑi
訛	ŋuɑi ŋoi
吪	ŋuɑi ŋoi
貨	huɑiᶜ hoiᶜ
化	huaiᶜ
瓦	ŋuaiᴮ ŋɔiᴮ
詻	ŋak
額	ŋak
偽	ŋyɑiᶜ ŋioiᶜ
厄	ʔɛk
軛	ʔɛk
隘	ʔaiᶜ
阨	ʔaiᶜ
啞	Ɂaᴮ Ɂak
惡	ʔɑk ʔɑᶜ Ɂɑ
效	gauᶜ
傚	gauᶜ
僬	tsiauᶜ
潐	tsiauᶜ
醮	tsiauᶜ
憔	dziau
譙	dziau
煬	dziauᶜ jɑŋᶜ
挾	tsep gep
皆	kɛi
喈	kɛi
偕	kɛi
諧	gɛi
階	kɛi
接	tsiap
際	tsias
嗟	tsia
唶	tsiah
咨	tsi
秸	kɛt
妹	kɛi məs
揭	gɨat kʰias
楬	kʰias
梜	kap kep
捷	dziap
妾	tsʰiap
睫	tsiap
羯	kiat
渴	giat kʰɑt
竭	giat
結	ket
稿	kɑuᴮ
犒	kʰɑuᶜ
柯	kɑi
軻	kʰɑi
科	kʰuɑi kʰuai
咳	kʰək
欬	kʰək kʰəᶜ
殼	kʰɔk
可	kʰɑiᴮ
克	kʰək
刻	kʰək
客	kʰak
喀	kʰak
肯	kʰəŋᴮ
懇	kʰənᴮ
豤	kʰənᴮ
悃	kʰuənᴮ
齦	kʰənᴮ
坑	kʰaŋ
阬	kʰaŋ
牼	kʰɛŋ
莖	gɛŋ
空	kʰoŋ kʰoŋᶜ
孔	kʰoŋᴮ
恐	kʰioŋᴮ
泥	nei neiᶜ
昵	ṇit
衵	ṇit
俎	tṣɑᴮ
逆	ŋiak
朔	ṣak ṣɔk
惄	neuk nek
匿	ṇik
暱	ṇək
溺	neuk nek neuᶜ
年	nein nen
輦	lianᴮ
連	lianᴮ lian
涊	ńinᴮ
念	nem
恁	ńimᴮ
名	nenᶜ mieŋ
鳥	teuᴮ
尿	neuᶜ
捻	nep
忱	ṇap
臬	ŋiat
涅	net neit net
敜	nep
哲	ṭɑt
晢	tśas tśat
磔	ṭak
摺	tśap
謫	ḍɛk ṭɛk
轍	ḍat
榴	ḍat
赭	tśaᴮ
柘	tśaᶜ
宅	ḍak
炙	tśak tśaᶜ
珍	ṭin
斟	tśim
甚	dźimᴮ dźimᶜ
敲	ṭim
貞	ṭeŋ
偵	ṭʰeŋ ṭeŋ
真	tśin tsʰiɑŋ
振	tśinᶜ tśin
桭	tśin
烝	tśiŋ
箴	kim
鍼	kim
溱	tṣin
蓁	tṣin
枕	tśimᴮ
咢	ŋɑk
鱷	ŋɑk
愕	ŋɑk
鄂	ŋɑk
噩	ŋɑk
遻	ŋɑᶜ
蘇	sɑ
索	sɑk
顎	ŋɑk
遏	ʔɑt
閼	ʔɑt
餓	ŋɑiᶜ
媚	ŋɑt
宏	ŋɑt
櫱	ŋɑt
而	ńə
兒	ńe
倪	ŋe
唲	ńe
耳	ńəᴮ
衈	ńəᶜ
珥	ńəᶜ
餌	ńəᶜ
爾	ńeᴮ
邇	ńeᴮ
褻	siat
二	ńis
發	puɑt
伐	buɑt
罰	buɑt
筏	buɑt
乏	buɑp
法	puɑp
髮	puɑt
拚	pʰuɑn
翻	pʰuɑn
帆	buɑm
蕃	puɑn buɑn
樊	buɑn
凡	buɑm
燔	buɑn
蹯	buɑn
繁	buɑn
反	puɑnᴮ
販	puɑnᶜ
番	pʰuɑn
幡	pʰuɑn
氾	pʰuɑmᶜ buɑmᶜ
汎	pʰuɑmᶜ
泛	pʰuɑmᶜ
犯	buɑmᴮ
飯	buɑnᶜ buɑn
方	puɑŋ
舫	puɑŋᶜ
放	puɑŋᴮ puɑŋᶜ
芳	pʰuɑŋ
坊	buɑŋ
防	buɑŋ
房	buɑŋ
紡	pʰuɑŋᴮ
訪	pʰuɑŋᶜ
聘	pʰieŋᶜ
非	pui
誹	pui puiᶜ
扉	pui
棐	puiᴮ
飛	pui
妃	pʰui
肥	bui
腓	bui
匪	puiᴮ
胐	pʰət pʰuiᴮ
吠	buɑs
芾	put
肺	pʰuas
沸	pus put
廢	puɑs
分	pun bunᶜ
雰	pʰun
氛	pʰun bun
饙	pun
紛	pʰun
芬	pʰun
翂	pun
奮	punᶜ
焚	bun
墳	bun bunᴮ
憤	bunᴮ
忿	pʰunᴮ pʰunᶜ
濆	bun
粉	punᴮ
秎	bunᶜ
糞	punᶜ
丰	pʰuoŋ
封	puoŋ
犎	puoŋ
鋒	pʰuoŋ
蜂	pʰuoŋ
縫	buoŋ buoŋᶜ
峰	pʰuoŋ
豐	pʰuŋ
風	puŋ puəm
諷	puəmᶜ puŋᶜ
渢	buəm buŋ
楓	puŋ puəm
逢	buoŋ
夆	buoŋ
摓	buoŋ
奉	pʰuoŋᴮ buoŋᴮ
俸	buoŋᶜ
鳳	puəmᶜ buŋᶜ mie me ŋe
夫	buɑ puɑ
鈇	puɑ
柎	puo
扶	buɑ puɑ
傅	puɑᶜ
賻	buɑᶜ
輔	buɑᴮ
伏	buk buᶜ
服	buk
符	buo
拂	pʰut
茀	put
韍	put
黻	put
浮	bu
桴	pʰuo boᴮ buoᴮ
泭	pʰuo
蜉	bu
福	puk
富	puᶜ
斧	puɑᴮ
府	puoᴮ
腐	puoᴮ
膚	puɑ
撫	pʰuɑᴮ
拊	pʰuoᴮ
父	buɑᴮ
付	puoᶜ
附	buoᶜ
垘	buoᶜ
胕	buoᶜ
蚹	buoᶜ
阜	buᴮ
垺	pʰu pʰə pʰio
婦	buᴮ
賦	puɑᶜ
負	buᴮ
復	buk buᶜ
複	puk
覆	pʰuk pʰuᶜ
腹	puk
蝮	pʰuk
縛	buɑk
